hour,tps,pods,service
2024-03-01 00:00:00,242.8,25.0,bolt
2024-03-01 01:00:00,219.2,25.0,bolt
2024-03-01 02:00:00,372.9,25.0,bolt
2024-03-01 03:00:00,203.2,25.0,bolt
2024-03-01 04:00:00,351.2,25.0,bolt
2024-03-01 05:00:00,178.4,25.0,bolt
2024-03-01 06:00:00,179.2,25.0,bolt
2024-03-01 07:00:00,194.6,25.0,bolt
2024-03-01 08:00:00,223.6,25.0,bolt
2024-03-01 09:00:00,261.0,25.0,bolt
2024-03-01 10:00:00,287.3,25.0,bolt
2024-03-01 11:00:00,292.6,25.0,bolt
2024-03-01 12:00:00,319.7,25.0,bolt
2024-03-01 13:00:00,291.2,25.0,bolt
2024-03-01 14:00:00,306.8,25.0,bolt
2024-03-01 15:00:00,305.79999999999995,25.0,bolt
2024-03-01 16:00:00,360.7,25.0,bolt
2024-03-01 17:00:00,420.0,25.0,bolt
2024-03-01 18:00:00,381.5,25.0,bolt
2024-03-01 19:00:00,433.7,25.0,bolt
2024-03-01 20:00:00,420.6,25.0,bolt
2024-03-01 21:00:00,327.4,25.0,bolt
2024-03-01 22:00:00,304.7,25.0,bolt
2024-03-01 23:00:00,284.3,25.0,bolt
2024-03-02 00:00:00,249.0,25.0,bolt
2024-03-02 01:00:00,221.4,25.0,bolt
2024-03-02 02:00:00,359.80000000000007,25.0,bolt
2024-03-02 03:00:00,199.2,25.0,bolt
2024-03-02 04:00:00,365.0,25.0,bolt
2024-03-02 05:00:00,180.6,25.0,bolt
2024-03-02 06:00:00,184.1,25.0,bolt
2024-03-02 07:00:00,202.8,25.0,bolt
2024-03-02 08:00:00,221.8,25.0,bolt
2024-03-02 09:00:00,248.3,25.0,bolt
2024-03-02 10:00:00,279.9,25.0,bolt
2024-03-02 11:00:00,298.8,25.0,bolt
2024-03-02 12:00:00,305.3,25.0,bolt
2024-03-02 13:00:00,314.9,25.0,bolt
2024-03-02 14:00:00,313.2,25.0,bolt
2024-03-02 15:00:00,343.6,25.0,bolt
2024-03-02 16:00:00,343.0,25.0,bolt
2024-03-02 17:00:00,360.0,25.0,bolt
2024-03-02 18:00:00,358.29999999999995,25.0,bolt
2024-03-02 19:00:00,428.4,25.0,bolt
2024-03-02 20:00:00,360.6,25.0,bolt
2024-03-02 21:00:00,330.3,25.0,bolt
2024-03-02 22:00:00,299.5,25.0,bolt
2024-03-02 23:00:00,254.7,25.0,bolt
2024-03-03 00:00:00,233.4,25.0,bolt
2024-03-03 01:00:00,212.4,25.0,bolt
2024-03-03 02:00:00,401.0,25.0,bolt
2024-03-03 03:00:00,214.6,25.0,bolt
2024-03-03 04:00:00,372.9,25.0,bolt
2024-03-03 05:00:00,193.4,25.0,bolt
2024-03-03 06:00:00,180.4,25.0,bolt
2024-03-03 07:00:00,199.3,25.0,bolt
2024-03-03 08:00:00,218.9,25.0,bolt
2024-03-03 09:00:00,255.5,25.0,bolt
2024-03-03 10:00:00,294.8,25.0,bolt
2024-03-03 11:00:00,297.6,25.0,bolt
2024-03-03 12:00:00,366.8,25.0,bolt
2024-03-03 13:00:00,413.9,25.0,bolt
2024-03-03 14:00:00,371.7000000000001,25.0,bolt
2024-03-03 15:00:00,365.7999999999999,25.0,bolt
2024-03-03 16:00:00,362.0,25.0,bolt
2024-03-03 17:00:00,427.0,25.0,bolt
2024-03-03 18:00:00,364.3,25.0,bolt
2024-03-03 19:00:00,463.7,25.0,bolt
2024-03-03 20:00:00,376.2,25.0,bolt
2024-03-03 21:00:00,339.7,25.0,bolt
2024-03-03 22:00:00,294.3,25.0,bolt
2024-03-03 23:00:00,262.7,25.0,bolt
2024-03-04 00:00:00,234.6,25.0,bolt
2024-03-04 01:00:00,214.3,25.0,bolt
2024-03-04 02:00:00,370.3,25.0,bolt
2024-03-04 03:00:00,209.6,25.0,bolt
2024-03-04 04:00:00,378.2,25.0,bolt
2024-03-04 05:00:00,201.9,25.0,bolt
2024-03-04 06:00:00,181.7,25.0,bolt
2024-03-04 07:00:00,197.3,25.0,bolt
2024-03-04 08:00:00,214.8,25.0,bolt
2024-03-04 09:00:00,259.6,25.0,bolt
2024-03-04 10:00:00,287.2,25.0,bolt
2024-03-04 11:00:00,298.4,25.0,bolt
2024-03-04 12:00:00,297.8,25.0,bolt
2024-03-04 13:00:00,307.1,25.0,bolt
2024-03-04 14:00:00,326.2,25.0,bolt
2024-03-04 15:00:00,389.6,25.0,bolt
2024-03-04 16:00:00,389.4,25.0,bolt
2024-03-04 17:00:00,455.1,25.0,bolt
2024-03-04 18:00:00,408.6,25.0,bolt
2024-03-04 19:00:00,452.1,25.0,bolt
2024-03-04 20:00:00,366.8,25.0,bolt
2024-03-04 21:00:00,343.1,25.0,bolt
2024-03-04 22:00:00,296.90000000000003,25.0,bolt
2024-03-04 23:00:00,254.1,25.0,bolt
2024-03-05 00:00:00,228.3,25.0,bolt
2024-03-05 01:00:00,214.1,25.0,bolt
2024-03-05 02:00:00,394.2000000000001,25.0,bolt
2024-03-05 03:00:00,212.3,25.0,bolt
2024-03-05 04:00:00,378.9,25.0,bolt
2024-03-05 05:00:00,192.6,25.0,bolt
2024-03-05 06:00:00,184.7,25.0,bolt
2024-03-05 07:00:00,200.0,25.0,bolt
